Size       Cycles/Element for sum_clang6_O: simple C compiled with clang 6 -O -mavx2
16            3.88
32            2.88
64            0.91
128           0.48
256           0.27
512           0.16
1024          0.11
2048          0.09
4096          0.07
8192          0.07
16384         0.06
32768         0.08
65536         0.08
131072        0.08
262144        0.08
524288        0.12
1048576       0.20

Size       Cycles/Element for sum_gcc7_O3: simple C compiled with GCC7 -O3 -mavx2
16            4.25
32            2.00
64            1.06
128           0.59
256           0.35
512           0.23
1024          0.17
2048          0.14
4096          0.13
8192          0.12
16384         0.11
32768         0.11
65536         0.11
131072        0.11
262144        0.11
524288        0.14
1048576       0.21

Size       Cycles/Element for sum_C: simple C compiled on this machine with settings in Makefile
16            3.88
32            2.81
64            2.31
128           2.17
256           1.97
512           1.86
1024          1.81
2048          1.78
4096          1.76
8192          1.76
16384         1.75
32768         1.75
65536         1.75
131072        1.75
262144        1.75
524288        1.75
1048576       1.76

Size       Cycles/Element for sum_multiple_accum_C: sum_C but with 4 accumulators
16            3.00
32            1.88
64            0.94
128           0.72
256           0.81
512           0.59
1024          0.93
2048          0.90
4096          0.89
8192          0.88
16384         0.67
32768         0.66
65536         0.66
131072        0.66
262144        0.66
524288        0.67
1048576       0.66

Size       Cycles/Element for sum_simple: simple ASM implementation
16            4.25
32            3.00
64            3.72
128           3.75
256           3.63
512           3.57
1024          3.53
2048          3.52
4096          3.51
8192          3.50
16384         3.50
32768         3.50
65536         3.50
131072        3.50
262144        3.50
524288        3.51
1048576       3.44

Size       Cycles/Element for sum_unrolled2: sum-simple but two elements per iteration
16            3.00
32            1.94
64            1.41
128           1.16
256           0.98
512           0.94
1024          0.91
2048          0.90
4096          0.89
8192          0.88
16384         0.88
32768         0.88
65536         0.88
131072        0.88
262144        0.88
524288        0.88
1048576       0.88

Size       Cycles/Element for sum_unrolled4: sum_simple but 4 elements per iteration
16            3.00
32            2.00
64            1.41
128           1.08
256           0.97
512           0.96
1024          0.92
2048          0.90
4096          0.89
8192          0.88
16384         0.88
32768         0.88
65536         0.88
131072        0.88
262144        0.88
524288        0.88
1048576       0.88

Size       Cycles/Element for sum_multiple_accum: uses multiple accumulators of sum_unrolled4
16            2.88
32            1.75
64            1.22
128           0.95
256           0.61
512           0.57
1024          0.55
2048          0.53
4096          0.70
8192          0.69
16384         0.70
32768         0.69
65536         0.69
131072        0.69
262144        0.69
524288        0.70
1048576       0.70

