Size       Cycles/Element for sum_clang6_O: simple C compiled with clang 6 -O -mavx2
16            4.12
32            2.94
64            0.88
128           0.50
256           0.27
512           0.17
1024          0.08
2048          0.06
4096          0.07
8192          0.07
16384         0.06
32768         0.08
65536         0.08
131072        0.08
262144        0.08
524288        0.11
1048576       0.20

Size       Cycles/Element for sum_gcc7_O3: simple C compiled with GCC7 -O3 -mavx2
16            4.12
32            2.06
64            1.09
128           0.61
256           0.35
512           0.23
1024          0.17
2048          0.14
4096          0.13
8192          0.12
16384         0.11
32768         0.11
65536         0.11
131072        0.11
262144        0.11
524288        0.14
1048576       0.21

Size       Cycles/Element for sum_C: simple C compiled on this machine with settings in Makefile
16            4.00
32            2.88
64            2.28
128           2.19
256           1.97
512           1.86
1024          1.80
2048          1.78
4096          1.76
8192          1.76
16384         1.75
32768         1.75
65536         1.75
131072        1.75
262144        1.75
524288        1.75
1048576       1.76

Size       Cycles/Element for sum_simple: simple ASM implementation
16            3.75
32            2.75
64            2.25
128           2.16
256           1.96
512           1.87
1024          1.80
2048          1.78
4096          1.76
8192          1.76
16384         1.75
32768         1.75
65536         1.75
131072        1.75
262144        1.75
524288        1.75
1048576       1.76

